Users,Total Needs,Age Info,Gender Info
[10 53 67 75 76 81 97 103 114 124 129 142 145 146 162 179 193 197 202 228 237 249 250 253 265 269 274 291 324 331 334 344 348 387 411 432 441 451 453 455 459 474 477 480 486 487 503 504 516 524 526 533 553 558 577 591 592 594 599 603 607 641 648 661 663 672 680 681 721 723 736 753 763 780 786 791 856 877 882 895 914 917 934 953 977 979 997],[34 34 19 14 8 11 5 5 3 1],"Children: 16, Adults: 55, Elders: 16, Average Age: 40","Males: 50, Females: 37, Majority: Male Majority"
[7 29 32 55 61 73 80 84 105 111 130 147 164 186 217 231 234 242 268 290 292 326 329 358 367 372 393 394 403 416 439 475 478 506 507 518 557 565 579 597 615 620 625 644 649 660 692 711 714 715 718 739 745 754 764 766 772 778 784 816 861 864 868 875 884 885 889 894 896 903 941 952 996],[30 19 23 14 9 12 13 2 4 0],"Children: 10, Adults: 48, Elders: 15, Average Age: 42","Males: 38, Females: 35, Majority: Male Majority"
[2 5 22 34 66 86 89 96 123 132 148 150 156 187 188 190 201 218 220 230 235 252 267 275 295 332 345 354 378 409 421 464 491 495 505 511 530 580 602 616 634 650 652 683 686 695 724 725 748 761 762 768 779 793 824 829 830 832 836 846 867 890 892 902 910 916 924 929 940 947 948 954 973],[27 26 12 17 8 9 6 9 6 1],"Children: 11, Adults: 50, Elders: 12, Average Age: 41","Males: 31, Females: 42, Majority: Female Majority"
[27 72 79 112 115 125 153 172 180 195 207 208 224 232 266 278 281 288 325 339 341 362 365 397 398 399 400 404 407 414 420 436 460 492 493 512 608 617 621 631 651 665 688 701 704 732 734 737 741 757 765 776 787 800 813 835 863 872 873 913 919 925 939 965 1000],[25 25 20 12 12 6 4 3 5 4],"Children: 16, Adults: 32, Elders: 17, Average Age: 41","Males: 30, Females: 35, Majority: Female Majority"
[1 13 24 28 95 107 133 134 135 136 168 173 175 177 194 203 212 236 259 296 310 349 351 357 366 373 406 422 437 476 482 494 500 522 527 532 562 568 590 609 642 645 653 671 694 712 742 783 785 796 805 818 833 844 852 870 908 932 955 980 994],[25 16 20 9 10 5 5 6 2 1],"Children: 12, Adults: 39, Elders: 10, Average Age: 42","Males: 38, Females: 23, Majority: Male Majority"
[20 30 36 39 50 52 56 58 74 83 127 140 199 205 211 223 229 243 247 257 263 272 287 297 302 309 335 350 359 371 375 377 383 419 426 429 517 535 543 544 548 550 569 572 612 630 637 647 674 710 756 759 760 802 803 826 838 865 871 911 920 923 927 930 942 966 981 982 984],[28 15 12 10 9 9 11 6 4 2],"Children: 20, Adults: 36, Elders: 13, Average Age: 35","Males: 39, Females: 30, Majority: Male Majority"
[12 19 23 31 42 48 70 77 99 108 116 122 128 131 143 160 174 181 184 209 214 225 246 258 271 276 277 280 285 293 303 315 319 323 352 368 369 374 391 395 443 496 509 519 537 554 555 567 583 593 623 624 629 655 685 706 719 747 755 770 788 806 831 845 858 860 869 876 878 880 883 921 926 943 945 946 949 970 983 987 993 995],[35 21 26 19 10 13 10 7 1 1],"Children: 27, Adults: 42, Elders: 13, Average Age: 36","Males: 45, Females: 37, Majority: Male Majority"
[15 26 35 47 60 85 90 91 109 118 137 149 182 196 204 210 221 254 260 311 312 322 327 347 353 356 382 396 444 447 449 462 465 467 497 499 508 513 536 547 581 596 600 605 613 632 635 638 668 693 730 733 774 782 789 801 808 815 825 855 886 893 899 938 944 959 960 961 975 986 998],[23 14 22 16 17 18 9 8 4 1],"Children: 19, Adults: 39, Elders: 13, Average Age: 38","Males: 32, Females: 39, Majority: Female Majority"
[3 54 62 92 93 113 138 152 157 167 183 216 219 222 239 240 241 282 286 294 298 300 304 307 336 342 343 346 385 410 434 454 457 481 483 498 501 525 528 538 540 545 563 564 570 571 606 610 622 626 640 679 696 697 716 731 740 794 795 804 812 817 828 857 859 881 887 897 900 907 909 915 951 971 976 988 989 990],[31 18 20 14 11 5 5 7 7 2],"Children: 18, Adults: 46, Elders: 14, Average Age: 40","Males: 38, Females: 40, Majority: Female Majority"
[4 14 16 38 49 51 65 69 82 100 144 159 244 261 279 289 308 328 337 360 361 380 402 415 417 431 435 440 452 456 458 466 469 472 523 539 561 582 587 595 614 636 639 654 659 669 675 687 690 720 722 727 758 792 798 799 809 827 849 854 888 898 922 928 931 962 985 992],[29 20 11 11 10 5 7 3 6 2],"Children: 9, Adults: 45, Elders: 14, Average Age: 44","Males: 39, Females: 29, Majority: Male Majority"
